Run	Age	Biological_Replicate	dev_stage	Organism	Sample_Name
SRR25387430	16_hpf	R2	Gastrula2	Mytilus_galloprovincialis	Mytgal_16hpf_R2
SRR25387431	16_hpf	R1	Gastrula2	Mytilus_galloprovincialis	Mytgal_16hpf_R1
SRR25387432	12_hpf	R2	Gastrula1	Mytilus_galloprovincialis	Mytgal_12hpf_R2
SRR25387433	12_hpf	R1	Gastrula1	Mytilus_galloprovincialis	Mytgal_12hpf_R1
SRR25387434	8_hpf	R2	Embryo	Mytilus_galloprovincialis	Mytgal_8hpf_R2
SRR25387435	8_hpf	R1	Embryo	Mytilus_galloprovincialis	Mytgal_8hpf_R1
SRR25387436	4_hpf	R2	Zygote	Mytilus_galloprovincialis	Mytgal_4hpf_R2
SRR25387437	72_hpf	R2	LateDVeliger	Mytilus_galloprovincialis	Mytgal_72hpf_R2
SRR25387438	72_hpf	R1	LateDVeliger	Mytilus_galloprovincialis	Mytgal_72hpf_R1
SRR25387439	52_hpf	R2	DVeliger3	Mytilus_galloprovincialis	Mytgal_52hpf_R2
SRR25387440	52_hpf	R1	DVeliger3	Mytilus_galloprovincialis	Mytgal_52hpf_R1
SRR25387441	48_hpf	R2	DVeliger2	Mytilus_galloprovincialis	Mytgal_48hpf_R2
SRR25387442	48_hpf	R1	DVeliger2	Mytilus_galloprovincialis	Mytgal_48hpf_R1
SRR25387443	44_hpf	R2	DVeliger1	Mytilus_galloprovincialis	Mytgal_44hpf_R2
SRR25387444	44_hpf	R1	DVeliger1	Mytilus_galloprovincialis	Mytgal_44hpf_R1
SRR25387445	40_hpf	R2	Advanced_Trochophore3	Mytilus_galloprovincialis	Mytgal_40hpf_R2
SRR25387446	40_hpf	R1	Advanced_Trochophore3	Mytilus_galloprovincialis	Mytgal_40hpf_R1
SRR25387447	4_hpf	R1	Zygote	Mytilus_galloprovincialis	Mytgal_4hpf_R1
SRR25387448	36_hpf	R2	Advanced_Trochophore2	Mytilus_galloprovincialis	Mytgal_36hpf_R2
SRR25387449	36_hpf	R1	Advanced_Trochophore2	Mytilus_galloprovincialis	Mytgal_36hpf_R1
SRR25387450	32_hpf	R2	Advanced_Trochophore1	Mytilus_galloprovincialis	Mytgal_32hpf_R2
SRR25387451	32_hpf	R1	Advanced_Trochophore1	Mytilus_galloprovincialis	Mytgal_32hpf_R1
SRR25387452	28_hpf	R2	Trochophore3	Mytilus_galloprovincialis	Mytgal_28hpf_R2
SRR25387453	28_hpf	R1	Trochophore3	Mytilus_galloprovincialis	Mytgal_28hpf_R1
SRR25387454	24_hpf	R2	Trochophore2	Mytilus_galloprovincialis	Mytgal_24hpf_R2
SRR25387455	24_hpf	R1	Trochophore2	Mytilus_galloprovincialis	Mytgal_24hpf_R1
SRR25387456	20_hpf	R2	Trochophore1	Mytilus_galloprovincialis	Mytgal_20hpf_R2
SRR25387457	20_hpf	R1	Trochophore1	Mytilus_galloprovincialis	Mytgal_20hpf_R1
SRR25387458	0_hpf	R2	Unfertilized_Egg	Mytilus_galloprovincialis	Mytgal_unfertilized_R2
SRR25387459	0_hpf	R1	Unfertilized_Egg	Mytilus_galloprovincialis	Mytgal_unfertilized_R1
