Experiment	Time	Replicate	Group
SRR25387430	16	1	1
SRR25387431	16	1	1
SRR25387432	12	2	1
SRR25387433	12	2	1
SRR25387434	8	3	1
SRR25387435	8	3	1
SRR25387436	4	4	1
SRR25387437	72	5	1
SRR25387438	72	5	1
SRR25387439	52	6	1
SRR25387440	52	6	1
SRR25387441	48	7	1
SRR25387442	48	7	1
SRR25387443	44	8	1
SRR25387444	44	8	1
SRR25387445	40	9	1
SRR25387446	40	9	1
SRR25387447	4	4	1
SRR25387448	36	10	1
SRR25387449	36	10	1
SRR25387450	32	11	1
SRR25387451	32	11	1
SRR25387452	28	12	1
SRR25387453	28	12	1
SRR25387454	24	13	1
SRR25387455	24	13	1
SRR25387456	20	14	1
SRR25387457	20	14	1
SRR25387458	0	15	1
SRR25387459	0	15	1
